Country,TIME,Value
Austria,2000,29376.007138
Austria,2001,29702.787377
Austria,2002,31178.051405
Austria,2003,32156.836361
Austria,2004,33784.254271
Austria,2005,35024.557468
Austria,2006,37665.322762
Austria,2007,39432.047419
Austria,2008,41316.022597
Austria,2009,40927.134659
Austria,2010,42021.154233
Austria,2011,44469.209638
Austria,2012,46477.65505
Austria,2013,47936.678019
Austria,2014,48813.534448
Austria,2015,49942.05633
Austria,2016,52665.087417
Austria,2017,54188.360688
Austria,2018,56956.110561
Austria,2019,58040.271302
Austria,2020,55938.853821
Austria,2021,58861.220664
Belgium,2000,27785.24739
Belgium,2001,28786.874988
Belgium,2002,30281.667957
Belgium,2003,30933.261951
Belgium,2004,32063.504462
Belgium,2005,33176.680886
Belgium,2006,35259.055082
Belgium,2007,36790.154433
Belgium,2008,37883.233427
Belgium,2009,37751.245091
Belgium,2010,39838.570117
Belgium,2011,40943.34345
Belgium,2012,42290.477717
Belgium,2013,43672.71225
Belgium,2014,44929.933357
Belgium,2015,46201.685914
Belgium,2016,48599.202718
Belgium,2017,50442.947516
Belgium,2018,52530.841516
Belgium,2019,54324.355645
Belgium,2020,53430.950797
Belgium,2021,58352.933391
Czech Republic,2000,16207.917486
Czech Republic,2001,17607.978215
Czech Republic,2002,18245.669005
Czech Republic,2003,19523.414102
Czech Republic,2004,20911.935458
Czech Republic,2005,22045.998902
Czech Republic,2006,23859.060496
Czech Republic,2007,26221.622971
Czech Republic,2008,27853.549942
Czech Republic,2009,27635.671742
Czech Republic,2010,27768.403176
Czech Republic,2011,28999.754779
Czech Republic,2012,29258.904839
Czech Republic,2013,30828.526383
Czech Republic,2014,32504.217617
Czech Republic,2015,33909.30928
Czech Republic,2016,36101.285588
Czech Republic,2017,38842.896273
Czech Republic,2018,41157.370443
Czech Republic,2019,42865.741166
Czech Republic,2020,41706.802098
Czech Republic,2021,44197.92576
Denmark,2000,28666.801424
Denmark,2001,29447.10771
Denmark,2002,30639.953683
Denmark,2003,30823.669759
Denmark,2004,32947.978716
Denmark,2005,34152.881712
Denmark,2006,37336.259702
Denmark,2007,39016.473077
Denmark,2008,41282.995449
Denmark,2009,40332.101032
Denmark,2010,43008.349378
Denmark,2011,44407.942011
Denmark,2012,44808.549276
Denmark,2013,46742.939604
Denmark,2014,47905.477051
Denmark,2015,49058.142379
Denmark,2016,51967.020422
Denmark,2017,55356.490026
Denmark,2018,57479.35019
Denmark,2019,58495.571944
Denmark,2020,60098.509605
Denmark,2021,64876.683293
Finland,2000,26784.759669
Finland,2001,27795.729375
Finland,2002,28605.12287
Finland,2003,29051.575676
Finland,2004,31201.58238
Finland,2005,32051.762833
Finland,2006,34454.903253
Finland,2007,37838.480345
Finland,2008,40083.701961
Finland,2009,37972.066531
Finland,2010,38956.123355
Finland,2011,40916.647366
Finland,2012,40872.854821
Finland,2013,41492.918367
Finland,2014,41749.864714
Finland,2015,42490.211112
Finland,2016,44934.488199
Finland,2017,47570.270324
Finland,2018,49573.255683
Finland,2019,50322.847725
Finland,2020,50936.750502
Finland,2021,54667.795723
France,2000,26094.70233
France,2001,27494.263399
France,2002,28528.15611
France,2003,28177.154495
France,2004,29065.049605
France,2005,30504.05878
France,2006,32474.873005
France,2007,34128.377623
France,2008,35102.870434
France,2009,34686.122287
France,2010,35912.031841
France,2011,37447.949548
France,2012,37684.198062
France,2013,39528.47364
France,2014,40144.059491
France,2015,40829.893318
France,2016,42855.944562
France,2017,44445.596773
France,2018,46336.93398
France,2019,48700.802338
France,2020,46713.800174
France,2021,50543.711377
Germany,2000,27450.968339
Germany,2001,28658.393697
Germany,2002,29504.289245
Germany,2003,30269.464371
Germany,2004,31741.694792
Germany,2005,32236.740991
Germany,2006,34666.782785
Germany,2007,36858.447686
